	Mouse.ID	Date	Left.Ear.Punch	Right.Ear.Punch	Body.Weight..g.	Fasting.Glucose	Donor	Donor.Type	Cohoused	Cage.ID	Diet	Diet.Type	Food.Weight.Out..g.	Food.Weight.In..g.	Notes	Additional.Notes	X	timepoint	Week	Group.Start	Group.End
M1.7.11.17	M1	2017-07-11	0	0	20.3	124	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	NA	227.4	8 weeks old			baseline	0	Thai.LowFiber	Thai.LowFiber
M1.7.25.17	M1	2017-07-25	0	0	20.7	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	14.3	228.8				middle	2	Thai.LowFiber	Thai.LowFiber
M1.8.8.17	M1	2017-08-08	0	0	21.4	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	29.9	206				middle	4	Thai.LowFiber	Thai.LowFiber
M1.8.22.17	M1	2017-08-22	0	0	21.8	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	7.4	229				middle	6	Thai.LowFiber	Thai.LowFiber
M1.9.5.17	M1	2017-09-05	0	0	22.1	NA	TFSCS023	Thai	FALSE	1	TD.86489	LowFiber	34.9	197.1	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting		middle	8	Thai.LowFiber	Thai.LowFiber
M1.9.19.17	M1	2017-09-19	0	0	23.2	324	TFSCS023	Thai	TRUE	C1-2	TD.86489	LowFiber	6.5	NA	Cohoused	Weights are after fasting		endpoint	10	Thai.LowFiber	Thai.LowFiber.Cohoused
M10.7.11.17	M10	2017-07-11	0	2	19.4	148	IMP.263	US	FALSE	2	TD.86489	LowFiber	NA	226.8	5-6 weeks old			baseline	0	US.LowFiber	US.LowFiber
M10.7.25.17	M10	2017-07-25	0	2	20.3	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	7.1	227.9				middle	2	US.LowFiber	US.LowFiber
M10.8.8.17	M10	2017-08-08	0	2	21.3	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	37.1	214.7				middle	4	US.LowFiber	US.LowFiber
M10.8.22.17	M10	2017-08-22	0	2	21.6	NA	IMP.263	US	FALSE	2	TD.86489	LowFiber	2	403.4				middle	6	US.LowFiber	US.LowFiber
M10.9.5.17	M10	2017-09-05	0	2	22.9	382	IMP.263	US	FALSE	2	TD.86489	LowFiber	162.2	NA	Diet weights have been swapped here - cages may have been mislabeled	Weights are after fasting		endpoint	8	US.LowFiber	US.LowFiber
M11.10.3.17	M11	2017-10-03	1	0	14.5	183	TFSCS023	Thai	FALSE	5	LabDiet 5061	HighFiber	NA	93.2	"Dropped on ground while gavaging, keep isolated. Measured food weight in was lost on 10/3, supplement with weight recorded on 10/5."			baseline	0	Thai.HighFiber	Thai.HighFiber
M11.10.17.17	M11	2017-10-17	1	0	17.1	NA	TFSCS023	Thai	FALSE	5	LabDiet 5061	HighFiber	44.8	168.9				middle	2	Thai.HighFiber	Thai.HighFiber
M11.10.31.17	M11	2017-10-31	1	0	19.8	NA	TFSCS023	Thai	FALSE	5	LabDiet 5061	HighFiber	113.9	113.9				middle	4	Thai.HighFiber	Thai.HighFiber
M11.11.14.17	M11	2017-11-14	1	0	23.2	NA	TFSCS023	Thai	FALSE	5	LabDiet 5061	HighFiber	62.2	238.8				middle	6	Thai.HighFiber	Thai.HighFiber
M11.11.27.17	M11	2017-11-28	1	0	20.8	169	TFSCS023	Thai	FALSE	5	LabDiet 5061	HighFiber	165.3	NA	lots of stuff in GI tract	20.8		endpoint	8	Thai.HighFiber	Thai.HighFiber
M12.10.3.17	M12	2017-10-03	2	0	18.8	187	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	"4, 7 weeks old"			baseline	0	Thai.HighFiber	Thai.HighFiber
M12.10.17.17	M12	2017-10-17	2	0	20.6	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	43.2	286.6				middle	2	Thai.HighFiber	Thai.HighFiber
M12.10.31.17	M12	2017-10-31	2	0	21.1	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	81.9	449.1	Additional feed added on 11/9/17 because looked low			middle	4	Thai.HighFiber	Thai.HighFiber
M12.11.14.17	M12	2017-11-14	2	0	22.3	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	309.5	77.9g food added to Box 3 with cohoused mice only on 11/27/17			middle	6	Thai.HighFiber	Thai.HighFiber
M12.11.28.17	M12	2017-11-28	2	0	22.4	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	96	369.9	222.6g feed added by Will on 12/6/17	22.4		middle	8	Thai.HighFiber	Thai.HighFiber
M12.12.11.17	M12	2017-12-12	2	0	23.5	190	TFSCS023	Thai	TRUE	C3-4	LabDiet 5061	HighFiber	149.6	NA	Cohouse	23.5		endpoint	10	Thai.HighFiber	Thai.HighFiber.Cohoused
M13.10.3.17	M13	2017-10-03	2	1	13.8	129	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	"4, 7 weeks old"			baseline	0	Thai.HighFiber	Thai.HighFiber
M13.10.17.17	M13	2017-10-17	2	1	15.9	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	43.2	286.6				middle	2	Thai.HighFiber	Thai.HighFiber
M13.10.31.17	M13	2017-10-31	2	1	17	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	81.9	449.1	Additional feed added on 11/9/17 because looked low			middle	4	Thai.HighFiber	Thai.HighFiber
M13.11.14.17	M13	2017-11-14	2	1	18.4	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	231.6				middle	6	Thai.HighFiber	Thai.HighFiber
M13.11.27.17	M13	2017-11-28	2	1	18.7	143	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	135.6	NA	lots of stuff in GI tract	18.7		endpoint	8	Thai.HighFiber	Thai.HighFiber
M14.10.3.17	M14	2017-10-03	1	1	20.3	131	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	"4, 7 weeks old"			baseline	0	Thai.HighFiber	Thai.HighFiber
M14.10.17.17	M14	2017-10-17	1	1	21.6	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	43.2	286.6				middle	2	Thai.HighFiber	Thai.HighFiber
M14.10.31.17	M14	2017-10-31	1	1	21.9	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	81.9	449.1	Additional feed added on 11/9/17 because looked low			middle	4	Thai.HighFiber	Thai.HighFiber
M14.11.14.17	M14	2017-11-14	1	1	23.3	NA	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	157.7	231.6				middle	6	Thai.HighFiber	Thai.HighFiber
M14.11.27.17	M14	2017-11-28	1	1	23.2	176	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	135.6	NA	food weight calculated since not measured	23.2		endpoint	8	Thai.HighFiber	Thai.HighFiber
M15.10.3.17	M15	2017-10-03	0	0	15.6	128	TFSCS023	Thai	FALSE	3	LabDiet 5061	HighFiber	NA	266.1	"4, 7 weeks old"			baseline	0	Thai.HighFiber	Thai.HighFiber
